scenario,calibration_object,expected,observed,passed,real_EEG_arrays_loaded,real_labels_read,detail
S0,all_selectors_null,C84-C_no_registered_zero_label_selector_materially_improves_source_in_any_external_dataset,C84-C_no_registered_zero_label_selector_materially_improves_source_in_any_external_dataset,1,0,0,no registered Q1 method in any dataset
S1,one_dataset_only,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,1,0,0,COTT supports Lee only
S2,same_method_improves_S1,C84-B_same_zero_label_selector_improves_source_across_all_external_datasets_but_not_B1,C84-B_same_zero_label_selector_improves_source_across_all_external_datasets_but_not_B1,1,0,0,COTT common Q1 intersection
S3,different_methods,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,1,0,0,method identity intersection is empty
S4,same_method_noninferior_B1,C84-A_same_zero_label_selector_matches_B1_across_all_external_datasets,C84-A_same_zero_label_selector_matches_B1_across_all_external_datasets,1,0,0,COTT common Q1+Q2 intersection
S5,source_panel_heterogeneity,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,1,0,0,Cho panel stability gate fails
S6,training_seed_heterogeneity,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,1,0,0,Physionet seed stability gate fails
S7,target_composition_heterogeneity,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,C84-D_external_dataset_source_panel_seed_or_target_heterogeneous,1,0,0,Lee LOTO preservation gate fails
S8,stable_B1_frontier,C84-L1_common_small_budget_frontier_at_or_below_4,C84-L1_common_small_budget_frontier_at_or_below_4,1,0,0,"{""Cho2017"": 1, ""Lee2019_MI"": 1, ""PhysionetMI"": 1}"
S9,dataset_heterogeneous_frontier,C84-L3_dataset_heterogeneous_label_budget,C84-L3_dataset_heterogeneous_label_budget,1,0,0,"{""Cho2017"": 4, ""Lee2019_MI"": 1, ""PhysionetMI"": ""FULL""}"
S10,ranking_association_without_regret,C84-C_no_registered_zero_label_selector_materially_improves_source_in_any_external_dataset,C84-C_no_registered_zero_label_selector_materially_improves_source_in_any_external_dataset,1,0,0,Spearman=0.9;Q1 sets remain empty
S11,topk_without_Q1,C84-C_no_registered_zero_label_selector_materially_improves_source_in_any_external_dataset,C84-C_no_registered_zero_label_selector_materially_improves_source_in_any_external_dataset,1,0,0,top5 improves;Q1 sets remain empty
S12,pooled_pseudoreplication_trap,TARGET_CLUSTER_N_22_NULL_NOT_REJECTED,TARGET_CLUSTER_N_22_NULL_NOT_REJECTED,1,0,0,trial/model rows never enter N
S13,Physionet_low_label_availability,COMMON_ONLY,COMMON_ONLY,1,0,0,metadata construction minimum=11
S14,atomic_field_result_failure,NO_FINAL_DIRECTORY,NO_FINAL_DIRECTORY,1,0,0,injected failure after first staging artifact
MAXT_Lee2019_MI,target_cluster_calibration,PASS,PASS,1,0,0,targets=22;draws=65536
MAXT_Cho2017,target_cluster_calibration,PASS,PASS,1,0,0,targets=20;draws=65536
MAXT_PhysionetMI,target_cluster_calibration,PASS,PASS,1,0,0,targets=76;draws=65536
GATE_Q1,panel_seed_aggregation,PASS,PASS,1,0,0,22 targets x 2 levels x 4 panel-seed cells
GATE_Q2,panel_seed_aggregation,PASS,PASS,1,0,0,22 targets x 2 levels x 4 panel-seed cells
