milestone,case,established,evidence,artifact
C31,E3_joint_good_exists_but_source_unobservable;E7_gauge_general_endpoint_offset,,compact decision present but no case_rows schema,oaci/reports/C31_ENDPOINT_AXIS_GEOMETRY.json
C32,J8_joint_good_landscape_diffuse_or_base_rate_dominated;J1_joint_good_common_not_scarce;J2_source_scores_weak_trajectory_enrichment;J3_source_topk_localization_weak;J5_selected_oaci_near_joint_good_margin_sensitive;J6_target_unlabeled_improves_pooled_gauge_not_topk_localization;J7_target_grouped_rank_recovers_pooled_localization_non_deployable,,compact decision present but no case_rows schema,oaci/reports/C32_JOINT_GOOD_LOCALIZATION_AUDIT.json
C33,B3_source_score_active_misranking;B4_local_gauge_jump_unseen_by_source;B7_target_unlabeled_pooled_only_confirmed;B8_label_margin_instability,,compact decision present but no case_rows schema,oaci/reports/C33_LOCAL_TRAJECTORY_BOUNDARY_AUDIT.json
C34,M2_continuous_source_active_misranking,1,,oaci/reports/C34_CONTINUOUS_LOCAL_REGRET_AUDIT.json
C34,M7_target_unlabeled_pooled_only_reconfirmed,1,,oaci/reports/C34_CONTINUOUS_LOCAL_REGRET_AUDIT.json
C34,M8_continuous_endpoint_tradeoff_local,1,,oaci/reports/C34_CONTINUOUS_LOCAL_REGRET_AUDIT.json
C35,U1_preference_robust_local_regret,1,,oaci/reports/C35_UTILITY_CONE_REGRET_AUDIT.json
C35,U2_preference_dependent_tradeoff_regret,1,,oaci/reports/C35_UTILITY_CONE_REGRET_AUDIT.json
C35,U3_pareto_dominated_selected_cases_common,1,,oaci/reports/C35_UTILITY_CONE_REGRET_AUDIT.json
C35,U5_source_active_misranking_preference_robust,1,,oaci/reports/C35_UTILITY_CONE_REGRET_AUDIT.json
C35,U7_target_unlabeled_no_preference_robust_rescue,1,,oaci/reports/C35_UTILITY_CONE_REGRET_AUDIT.json
C36,S1_risk_gate_excludes_target_better,0,risk_gate_regret_fraction=0.0,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json
C36,S2_leakage_objective_prefers_selected,1,selection leakage point component prefers selected in 1.0 of robust pairs; actual UCL deltas unavailable,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json
C36,S3_source_endpoint_prefers_selected,0,source_endpoint_regret_fraction=0.47368421052631576,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json
C36,S4_selection_audit_inversion,1,selection_to_audit_inversion_rate=0.4473684210526316,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json
C36,S5_source_pareto_conflict,1,source_pareto_conflict_fraction=1.0,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json
C36,S6_selector_plateau_tiebreak,0,actual selector UCL plateau unavailable; point plateau is component-only,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json
C36,S7_selector_active_misdirection,0,blocked: better candidate per-candidate selector UCL unavailable,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json
C36,S8_better_candidate_source_dominates_selected,0,better_source_dominates_fraction=0.0,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json
C36,S9_trace_insufficient,1,trace_unavailable_fraction=1.0,oaci/reports/C36_OACI_SELECTOR_MECHANICS_AUDIT.json
C37,T1_exact_ucl_prefers_selected,1,ucl_prefers_selected_fraction=1.0,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json
C37,T2_exact_ucl_prefers_better,0,ucl_prefers_better_fraction=0.0,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json
C37,T3_point_ucl_disagreement,0,point_ucl_disagreement_fraction=0.0,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json
C37,T4_ucl_plateau_uncertainty,0,ucl_plateau_fraction=0.13157894736842105,oaci/reports/C37_EXACT_SELECTOR_TRACE_RECOVERY.json
