path_id_and_hypothesis_role,scientific_claim,information_class,seed_population_targets_and_exclusions,regime_trajectory_and_candidate_universe,feature_block_or_descriptor_formula,base_and_conditioning_model,construction_evaluation_split_and_trial_hashes,statistic_effect_size_and_sign_convention,outer_inner_splits_and_dependence_groups,null_permutation_bootstrap_and_RNG_stream,kernel_bandwidth_scaling_or_model_hyperparameters,materiality_or_candidate_qualification_threshold,multiplicity_family_correction_and_hypothesis_order,success_failure_heterogeneity_and_blocker_rules,allowed_interpretation_and_forbidden_interpretation,completeness
"P1_M_co_primary_measurement","Target-construction score has positive held-evaluation reliability under training seed 4","target_construction_labels_diagnostic_positive_control","seed4 primary targets 1|2|3|5|6|7|8|9; target4 excluded from estimands nulls family and success rules","16 target-level cells; each cell has ERM anchor plus OACI orders1-40 plus SRC orders1-40; reliability uses OACI and SRC trajectories separately then averages within target","construction score=F5 column14; F5 is 15-dimensional class-conditioned construction bAcc NLL ECE and joint-utility rank block; evaluation utility=mean(midrank_percentile(eval_bAcc),midrank_percentile(-eval_NLL),midrank_percentile(-eval_ECE))","Spearman construction versus evaluation within each target-level-OACI/SRC trajectory; target effect=mean of four trajectory Spearman values; aggregate=mean of eight target effects","C78S label split table commit43a046c path oaci/reports/c78s_tables/label_split_isolation.csv sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721; exact eight construction/evaluation hashes replayed; overlap=0; identical trial partition required","effect=mean target reliability; positive direction means construction score and held-evaluation utility order candidates concordantly; raw_p=two-sided exact sign-flip p over eight target effects","outer scientific unit=target; within-target levels and OACI/SRC trajectories are repeated cells; trial-ID clustered bootstrap is secondary; checkpoint rows and trial rows not iid","exact sign-flip enumerates 2^8 target signs; target cluster bootstrap=2000 replicates RNG=7813; trial bootstrap=499 replicates RNG=12803+target_id; no seed4-adaptive null count","Spearman no kernel; ECE 15 equal-width bins; utility uses midrank percentiles; no tuned hyperparameter","P1_M gate requires effect>0 raw_p<0.05 and Holm-adjusted p<0.05; uncertainty reported regardless","fixed six-member Holm order=P1_M|H2R|P2_L|H4R|H5R|H6R; alpha=0.05; P1_A is nested material gate not a seventh p-value","P1 transition requires P1_M and P1_A; P1_M pass with P1_A fail means seed4 measurement-control separation; P1_M fail means measurement not seed-robust; missing unit split overlap or target4 leakage blocks","Allowed=post-seed3 seed4 measurement replication; forbidden=source-only zero-label few-label sufficiency oracle method deployability or target-population confirmation","16/16"
"P1_A_co_primary_actionability_gate","Target-construction score yields material held-evaluation extreme-action utility under training seed 4","target_construction_labels_diagnostic_positive_control","seed4 primary targets 1|2|3|5|6|7|8|9; target4 excluded; seed4-only primary","16 target-level fields of 81 candidates each; ERM one anchor; OACI and SRC forty checkpoints each","score prior=F0 column6 source_bAcc; score full=F5 column14 construction joint utility; held utility=continuous evaluation joint utility; joint_good=held primary_joint_good","No fitted model; rank all 81 candidates by each score within target-level; compute true-best-in-predicted-top1|5|10 selected-true-rank coverage and standardized regret","C78S label split table commit43a046c path oaci/reports/c78s_tables/label_split_isolation.csv sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721; same exact seed3 partition reused for seed4","topk improvement=construction hit minus source_bAcc hit; regret reduction=mean source standardized regret minus mean construction standardized regret; positive means construction improves control","aggregate over 16 target-level cells; target summaries average two levels; trial cluster bootstrap secondary; candidate rows are not iid","random baselines fixed by M=81 as 1/81|5/81|10/81; random expected standardized regret=mean((best-mean utility)/(best-worst)); trial bootstrap RNG=12803+target_id with 499 replicates","No model; ties resolved by stable numpy argsort on locked unit order target|level|regime_order; random formulas analytic","material_topk=max(delta true-best top5,delta true-best top10)>=0.05 OR standardized_regret_reduction>=0.05; report top1 and coverage but they do not independently satisfy materiality","Nested under P1; no additional p-value; P1 overall also requires P1_M Holm rejection in fixed six-member family","P1_M+P1_A pass=transition replicates; P1_M pass P1_A fail=separation; P1_M fail=transition unconfirmed; target4 or split leakage blocks","Allowed=target-construction diagnostic actionability; forbidden=source-only target-unlabeled zero-label OACI rescue SRC rescue selector recommendation few-label sufficiency or deployment","16/16"
"H2R_mandatory_secondary","Exact effective-multiplicity and top-gap model improves held-target prediction of construction-selected top1 miss","endpoint_derived_target_evaluation_geometry_diagnostic","seed4 primary targets 1|2|3|5|6|7|8|9; target4 excluded; secondary registered audit","OACI and SRC only; prefixes5|10|20|40 within each target-level-regime; 8*2*2*4=128 rows; ERM excluded from trajectories","raw_M=prefix; effective_M=count(best_eval_utility-utility<=0.05); top_two_gap=best-second; y=1 if construction argmax is not evaluation argmax","raw logistic X=[log(raw_M)]; full logistic X=[log(raw_M),log(max(effective_M,1)),-log(top_two_gap+1e-6)]; leave-one-target-out IRLS implementation in c78s_modeling.crossfit_logistic_deviance","C78S label split table commit43a046c path oaci/reports/c78s_tables/label_split_isolation.csv sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721; construction selects and evaluation defines utility gaps","effect=raw held-target deviance minus full held-target deviance; positive means added effective_M and inverse-gap terms improve; handoff deviance change uses opposite display sign and both signs must be labeled","outer split=target; rows stratified by raw_M|level|regime for null; 128 prefix rows are repeated target fields not iid","499 permutations; RNG=11803+replicate; permute full-X columns1: within raw_M|level|regime strata; p=(1+count(null>=effect))/500","effective epsilon=0.05; prefix sizes5|10|20|40; top-gap epsilon=1e-6; exact logistic implementation hash reference c78s_modeling.py sha256=372f4b5e0315d487c452e74ce78736583c105a16c027362e4d96cc713d8175ca","qualifies if effect>0 raw_p<0.05 and Holm-adjusted p<0.05; otherwise exact model did not qualify","fixed six-member Holm order=P1_M|H2R|P2_L|H4R|H5R|H6R; alpha=0.05","qualify|does_not_qualify_again|training_seed_heterogeneous versus seed3 direction; no replacement model or postoutcome interaction; missing prefix blocks","Allowed=exact model training-seed audit; forbidden=multiplicity universally irrelevant selector or causal explanation","16/16"
"P2_L_co_primary_local_association","Target-unlabeled F4 geometry has positive local nonlinear association with held target utility residual under six controls","target_unlabeled_architecture_tied_nonidentified","seed4 primary targets 1|2|3|5|6|7|8|9; target4 excluded","local groups=target x level x trajectory with OACI and SRC only; expected32 groups; ERM anchor enters base prediction but not trajectory denominator","features=F4 columns0:20 target z/W geometry; outcome residual=centered continuous utility within target-level minus crossfit ridge prediction from F0+F1+F3","Base ridge uses prior dimensions9+25+18=52; leave-target outer and inner groups=target; center groups=target-level; alphas selected from0.01|0.1|1|10|100 on training targets","Evaluation utility and F4 use C78S route contract; label split table sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721; target-unlabeled F4 has zero labels","fixed effect=mean centered-HSIC over 32 local groups using Laplacian kernel factor1.0; positive means local dependence; report all group effects and positive count","ridge outer=target; local topology groups=target-level-regime trajectory; target and trajectory dependence reported; 32 groups not independent subjects","six families each499 replicates: target-block checkpoint-block trajectory-preserving candidate-within-target-regime identity-matched nested-bandwidth; RNG=10803+100000*scheme_index+replicate; max-stat across registered2 paths*2 kernels*3 factors*2 statistics","fixed primary path Laplacian centered_HSIC bandwidth=1.0*median positive distance after fold-local scaling; registered family rbf|laplacian x0.5|1|2 x normalized_alignment|centered_hsic all always run","P2_L requires effect>0 worst six-control global-family max-stat p<0.05 and Holm-adjusted p<0.05; all controls reported","fixed six-member Holm order=P1_M|H2R|P2_L|H4R|H5R|H6R; alpha=0.05","P2 overall requires P2_L plus both P2 transport paths unqualified; local fail=association does not replicate; transport qualification=heterogeneity; missing controls block","Allowed=registered local association; forbidden=causal representation W-versus-z origin target gauge transport actionability selector or all-function statement","16/16"
"P2_T_LOTO_co_primary_nested_transport","Fixed target-unlabeled Laplacian KRR increment qualifies for held-target prediction and actionability","target_unlabeled_architecture_tied_nonidentified","seed4 primary targets1|2|3|5|6|7|8|9; target4 excluded","all81 candidates per target-level for prediction; OACI and SRC trajectory groups; ERM anchor retained in field and base","features=F4 columns0:20; residual=centered continuous utility minus F0+F1+F3 ridge prior; full=prior+KRR increment","fixed KRR leave-target outer groups=target; center=target-level; Laplacian kernel bandwidth factor1 alpha1; base ridge exact as P2_L","C78S label split table sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721; target-unlabeled features label-free and held utility evaluation-only","effect=full centered_R2 minus prior centered_R2 under leave-target predictions; positive means incremental held-target prediction","outer=target; inner scaling and bandwidth use training targets; center=target-level; per-target increment and target count reported","499 trajectory-preserving KRR nulls RNG=9804; global max-stat across strict-source RBF and target-unlabeled Laplacian paths","Laplacian; factor1.0 times fold-training median positive distance; alpha1.0; fixed no tuning","LOTO qualifies if incremental_R2>=0.02 global_max_stat_p<0.05 and material_actionability true; failure means this registered transport path unqualified","Nested P2 transport gate; no independent family p-value; P2_L carries family-wise decision","P2 local/nontransport pattern requires this path unqualified and LORO unqualified; qualification triggers transport reversal review; missing fold blocks","Allowed=registered fixed-relation held-target qualification or nonqualification; forbidden=universal transport/nontransport deployability or target-population generality","16/16"
"P2_T_LORO_co_primary_nested_transport","Fixed target-unlabeled Laplacian KRR increment qualifies for held-regime prediction and actionability","target_unlabeled_architecture_tied_nonidentified","seed4 primary targets1|2|3|5|6|7|8|9; target4 excluded","regimes ERM|OACI|SRC are outer groups; trajectories define centering; ERM remains anchor not 40-point trajectory","features=F4 columns0:20; residual=centered continuous utility within trajectory minus F0+F1+F3 ridge prior_LORO","fixed KRR outer groups=regime; bandwidth learned from outer-training rows; alpha1; base ridge outer=regime inner=target center=trajectory","C78S label split table sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721; evaluation outcome held from construction","effect=full LORO centered_R2 minus prior LORO centered_R2; positive means incremental held-regime prediction","outer=regime; inner ridge groups=target; center=trajectory; regime folds are only3 and reported individually","uses P2 KRR 499-null global_max_stat_p from RNG9804; no new null family","Laplacian factor1 alpha1 fixed; no bandwidth retuning","LORO qualifies if incremental_LORO_R2>0 global_max_stat_p<0.05 and material_actionability true; otherwise unqualified","Nested P2 transport gate; no independent family p-value","P2 pattern requires LOTO and LORO both unqualified; qualification is training-seed heterogeneity review not deployment; missing regime fold blocks","Allowed=registered held-regime qualification status; forbidden=all-regime theorem causal mechanism or selector","16/16"
"H4R_mandatory_secondary","Registered strict-source F2 candidate qualifies or does not qualify on seed4","strict_source_architecture_tied_nonidentified","seed4 primary targets1|2|3|5|6|7|8|9; target4 excluded","all81 candidates per target-level; ERM anchor plus OACI and SRC checkpoints","prior=F0 9 plus F1 25; new=F2 25 z-spectrum W-geometry alignment block; outcome=continuous evaluation joint utility","nested column-space ridge; outer target; inner target on outer-training set; center target-level; alphas0.01|0.1|1|10|100; LORO outer regime inner target center trajectory","C78S label split table sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721; strict-source block uses source labels only; target evaluation labels only define held outcome","effect=full minus prior LOTO centered_R2; positive means F2 incremental prediction; report median per-target residual correlation and positive targets","outer target; inner target; center target-level; LORO outer regime; checkpoint and trial rows not iid","499 trajectory-preserving permutations of new block RNG=8803+replicate; frozen observed fold alphas; max-stat across4 registered paths x5 outcomes","ridge alphas0.01|0.1|1|10|100 selected by training-fold MSE; F2 dimension25 fixed; no feature/kernel expansion","qualifies iff R2>=0.02 maxstat_p<0.05 leave-target median>0 positive_targets>=6 leave-regime median>0 and material topk/regret gate true","raw maxstat p occupies fixed Holm position4 for transparency; nonqualification decision does not assert a null and does not require Holm rejection","qualifies|does_not_qualify_again|training_seed_heterogeneous; any feature drift or target-label leakage blocks","Allowed=registered F2 candidate status; forbidden=all strict-source functions impossible true effect zero or deployable escape hatch","16/16"
"H5R_mandatory_secondary","Registered target-unlabeled F4 geometry candidate qualifies or does not qualify on seed4","target_unlabeled_architecture_tied_nonidentified","seed4 primary targets1|2|3|5|6|7|8|9; target4 excluded","all81 candidates per target-level; ERM anchor plus OACI and SRC checkpoints","prior=F0 9 plus F1 25 plus F3 18; new=F4 columns0:20 geometry only; full dimension72; outcome=continuous evaluation joint utility","nested column-space ridge; outer target; inner target; center target-level; alphas0.01|0.1|1|10|100; LORO outer regime inner target center trajectory","C78S label split table sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721; F4 has no target labels; evaluation labels define held outcome","effect=full minus prior LOTO centered_R2; positive means F4 incremental prediction; report median per-target residual correlation and positive targets","outer target; inner target; center target-level; LORO outer regime; checkpoint and trial rows not iid","499 trajectory-preserving permutations of new block RNG=8803+replicate; frozen observed fold alphas; max-stat across4 paths x5 outcomes","ridge alphas0.01|0.1|1|10|100 selected in training folds; F4 geometry exactly first20 of35; no full-mixed substitution","qualifies iff R2>=0.02 maxstat_p<0.05 leave-target median>0 positive_targets>=6 leave-regime median>0 and material topk/regret gate true","raw maxstat p occupies fixed Holm position5 for transparency; nonqualification decision does not assert a null and does not require Holm rejection","qualifies|does_not_qualify_again|training_seed_heterogeneous; feature drift split leak or target4 blocks","Allowed=registered F4 candidate status; forbidden=all target-unlabeled functions impossible effect zero representation absent or deployability","16/16"
"H6R_mandatory_secondary","Construction F5 adds more held-target prediction than the stronger registered F2 or F4 candidate","target_construction_labels_diagnostic_positive_control","seed4 primary targets1|2|3|5|6|7|8|9; target4 excluded","all81 candidates per target-level; per-target effect averages two levels and all regimes through LOTO prediction","prior=F0+F1+F3+F4geometry dimension72; new=F5 dimension15; outcome=continuous evaluation joint utility; comparator=max per-target incremental_R2 of F2 and F4geometry","nested column-space ridge outer target inner target center target-level; same alpha grid; construction incremental per target minus max registered nonlabel increment","C78S label split table sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721; F5 construction labels physically separate from evaluation labels","effect=mean across eight targets of construction_increment-max(F2_increment,F4_increment); positive favors construction positive control; raw_p=two-sided exact sign flip","outer target; center target-level; eight target effects; rows not iid","exact 2^8 sign-flip p; ridge 499 trajectory-preserving nulls RNG=8803+replicate reported for construction path; no p pooling across seeds","ridge alpha grid0.01|0.1|1|10|100; F5 dimension15; no feature expansion","familywise active iff mean effect>0 raw sign_p<0.05 Holm_p<0.05 and construction overall incremental_LOTO_R2>0","fixed six-member Holm order position6; H6R remains in same replication family to preserve exact C78S family; seed3 and seed4 p-values never combined","active_on_seed4|inactive_on_seed4|training_seed_heterogeneous; raw p alone descriptive; missing comparator blocks","Allowed=registered diagnostic positive-control family decision; forbidden=pvalue rescue few-label sufficiency selector source-only claim or deployment","16/16"
"XSEED_secondary_no_rescue","Describe paired seed3-seed4 effect and gate concordance without changing seed4 primary decisions","paired_training_seed_robustness_summary","same eight targets and same raw trials repeated across seed3 and seed4; target4 excluded; not independent subjects","align by target|level|regime|trajectory_order only; no target-outcome rank matching; seed-specific learned checkpoints remain distinct","effects=P1 reliability actionability H2 deviance P2 local and transport F2 F4 H6; use fixed seed3 values and frozen seed4 outputs","No pooled prediction model; paired differences calculated at target-level or target-level-regime granularity dictated by each path","same exact trial split table sha256=7d718e6c608d388f2993297b08e674cde6ec32ef2effdffdc69c54d89c847721 across seeds","effect difference=seed4 minus seed3 in each registered sign convention; report direction gate and materiality concordance separately","paired unit=target or target-level; cluster shared target and trial IDs across seeds; two seeds do not support random-effects asymptotics","target-cluster paired bootstrap=2000 RNG=15793; no combined p-value; missing aligned unit reported and blocks only affected synthesis","No kernel/model fitting; checkpoint alignment exact by manifest position regime level order","descriptive heterogeneity if gate or materiality differs or paired effect interval excludes0; never overrides seed4-only primary gate","secondary descriptive family outside six-member seed4 Holm family; no Fisher Stouffer or minimum-p combination","all seed4 primary outputs freeze before synthesis; no selecting better seed; no outcome-based checkpoint alignment","Allowed=training-seed concordance or heterogeneity; forbidden=independent subject replication target-population generality or pvalue rescue","16/16"
