field_order,field_name,category,necessity,rationale,available_in_current_artifacts
1,candidate_id,candidate identity,required,binds atom trace to selector candidate without emitting checkpoint hash,1
2,split_id,population identity,required,distinguishes selection/source-audit/source-guard traces,1
3,support_graph_hash,support identity,required,binds comparable classes and support cells,1
4,leakage_design_hash,population design,required,"binds sample ids, domain/class labels, groups, and sample mass",1
5,fold_plan_hash,crossfit identity,required,binds grouped fold assignment,1
6,cell_weights,cell estimand weights,required,"persists p_ref, p(d|y), and overlap mass denominators",1
7,per_fold_probe_nll_by_cell,first divergent stage,required,locates drift before/after probe prediction and fold aggregation,0
8,per_candidate_atom_table,atom identity,required,persists exact domain x class point atoms,0
9,aggregate_point_leakage,aggregate identity,required,canonical sum target for atom table,1
10,bootstrap_replicate_aggregate_leakage,UCL boundary,required_for_ucl_diagnostics,"keeps UCL quantile aggregate, not per-atom UCL",0
11,bootstrap_replicate_order,bootstrap identity,required_for_ucl_diagnostics,binds quantile ordering and accepted draw ids,0
12,numeric_environment,numeric reproducibility,recommended,records BLAS/sklearn/numpy versions and dtype pathway,0
