method_id,method,information_class,status,canonical_reference,implementation_source,fidelity_status,declared_adaptation_or_exclusion,selection_views,evaluation_view_for_selection,oracle_reachable,outcome_tuned
B0,Uniform random candidate,I0,FEASIBLE_PRIMARY,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,NONE,0,0,0
B1,ERM anchor,I0,FEASIBLE_PRIMARY,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,trajectory_genealogy_metadata,0,0,0
B2,Final OACI checkpoint,I0,FEASIBLE_SECONDARY,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,trajectory_genealogy_metadata,0,0,0
B3,Final SRC checkpoint,I0,FEASIBLE_SECONDARY,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,trajectory_genealogy_metadata,0,0,0
B4O,OACI cadence midpoint,I0,FEASIBLE_SECONDARY,internal_control,internal_frozen_contract,LOCKED_WITH_DECLARED_ADAPTATION,B4 expanded prospectively into one midpoint per trajectory family,trajectory_genealogy_metadata,0,0,0
B4S,SRC cadence midpoint,I0,FEASIBLE_SECONDARY,internal_control,internal_frozen_contract,LOCKED_WITH_DECLARED_ADAPTATION,B4 expanded prospectively into one midpoint per trajectory family,trajectory_genealogy_metadata,0,0,0
B5,Oracle-best candidate,IOr,CEILING_ONLY_NOT_SELECTOR,internal_control,internal_frozen_contract,LOCKED_WITH_DECLARED_ADAPTATION,never enters selector comparison or taxonomy,target_evaluation_view,1,0,0
S1,Source-validation balanced accuracy,IS,FEASIBLE_PRIMARY,internal_control,internal_frozen_contract,LOCKED_WITH_DECLARED_ADAPTATION,frozen source audit rather than a newly held-out source training fold,strict_source_trial_view|source_audit_label_view,0,0,0
S2,Source-validation negative NLL,IS,FEASIBLE_SECONDARY,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,strict_source_trial_view|source_audit_label_view,0,0,0
S3,Source-LODO,IS,EXCLUDED_INPUT_UNAVAILABLE,internal_control,internal_frozen_contract,EXCLUDED_BEFORE_HASH,required folds do not exist and new training is forbidden,NONE,0,0,0
S4,Historical strict-source F2 candidate,IS,EXCLUDED_INPUT_UNAVAILABLE,internal_control,internal_frozen_contract,EXCLUDED_BEFORE_HASH,committed compact artifacts contain qualification aggregates but no execution-bound per-candidate selector descriptor,NONE,0,0,0
U1,Mean maximum softmax probability,IU,FEASIBLE_SECONDARY,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,target_unlabeled_trial_view,0,0,0
U2,Negative predictive entropy,IU,FEASIBLE_SECONDARY,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,target_unlabeled_trial_view,0,0,0
U3,Negative average energy,IU,FEASIBLE_SECONDARY,internal_control,internal_frozen_contract,LOCKED_WITH_DECLARED_ADAPTATION,temperature fixed prospectively at 1,target_unlabeled_trial_view,0,0,0
U4,Information maximization,IU,FEASIBLE_SECONDARY,internal_control,internal_frozen_contract,LOCKED_EXACT_OR_ELEMENTARY,none,target_unlabeled_trial_view,0,0,0
U5,Normalized nuclear norm,IU,FEASIBLE_PRIMARY,https://proceedings.mlr.press/v202/deng23e.html,faithful_numpy_reimplementation,LOCKED_EXACT_OR_ELEMENTARY,none,target_unlabeled_trial_view,0,0,0
U6,Difference of Confidence,ISU,FEASIBLE_SECONDARY,https://openaccess.thecvf.com/content/ICCV2021/html/Guillory_Predicting_With_Confidence_on_Unseen_Distributions_ICCV_2021_paper.html,faithful_numpy_reimplementation,LOCKED_WITH_DECLARED_ADAPTATION,balanced-accuracy adaptation is declared because the endpoint is balanced accuracy,strict_source_trial_view|source_audit_label_view|target_unlabeled_trial_view,0,0,0
